Field Name,Type,Nullable,Default,Primary Key,Description
ID,INTEGER,No,,Yes,
Name,TEXT,Yes,,,
Comments,TEXT,Yes,,,
ROF,INTEGER,Yes,0,,
Capacity,INTEGER,Yes,0,,
ReadyTime,INTEGER,Yes,0,,
ReadyTime_Sustained,INTEGER,Yes,0,,
LoadoutRole,INTEGER,Yes,0,,
TimeofDay,INTEGER,Yes,0,,
Weather,INTEGER,Yes,0,,
PayloadWeightDragModifier,DOUBLE,Yes,0,,
DefaultCombatRadius,INTEGER,Yes,0,,
DefaultTimeOnStation,INTEGER,Yes,0,,
DefaultMissionProfile,INTEGER,Yes,0,,
RequiresBuddyIllumination,BOOLEAN,No,'False',,
Hypothetical,BOOLEAN,No,'False',,
QuickTurnaround,BOOLEAN,No,'False',,
QuickTurnaround_ReadyTime,INTEGER,Yes,0,,
QuickTurnaround_MaxSorties,INTEGER,Yes,0,,
QuickTurnaround_AdditionalTimePenalty,INTEGER,Yes,0,,
QuickTurnaround_AirborneTime,INTEGER,Yes,0,,
QuickTurnaround_TimeofDay,INTEGER,Yes,0,,
WinchesterShotgun,INTEGER,Yes,0,,
Cargo_Type,INTEGER,No,0,,
Cargo_Mass,DOUBLE,No,0,,
Cargo_Area,DOUBLE,No,0,,
Cargo_Crew,DOUBLE,No,0,,
Cargo_ParadropCapable,BOOLEAN,No,,,
Cargo_Volume,INTEGER,Yes,0,,
Deprecated,BOOLEAN,No,'False',,
