Field Name,Type,Nullable,Default,Primary Key,Description
ID,INTEGER,Yes,,Yes,
Name,TEXT,Yes,,,
Comments,TEXT,Yes,,,
ArmorGeneral,INTEGER,Yes,0,,
ROF,INTEGER,Yes,0,,
Capacity,INTEGER,Yes,0,,
MagazineROF,INTEGER,Yes,0,,
MagazineCapacity,INTEGER,Yes,0,,
DamagePoints,DOUBLE,Yes,0,,
Logistic,BOOLEAN,No,'False',,
ReserveTarget,BOOLEAN,No,'False',,
CanHotReload,BOOLEAN,No,'False',,
Availability,INTEGER,Yes,0,,
Trainable,BOOLEAN,No,'False',,
Autonomous,BOOLEAN,No,'False',,
LocalControl,BOOLEAN,No,'False',,
Hypothetical,BOOLEAN,No,'False',,
Cargo_Type,INTEGER,No,0,,
Cargo_Mass,DOUBLE,No,0,,
Cargo_Area,DOUBLE,No,0,,
Cargo_Crew,DOUBLE,No,0,,
Cargo_ParadropCapable,BOOLEAN,No,,,
MobileUnitCategory,INTEGER,Yes,0,,
Deprecated,BOOLEAN,No,'No',,
