Field Name,Type,Nullable,Default,Primary Key,Description
ID,INTEGER,Yes,,Yes,
Name,TEXT,Yes,,,
Comments,TEXT,Yes,,,
Type,INTEGER,Yes,1001,,
Role,INTEGER,Yes,1001,,
Generation,INTEGER,Yes,1001,,
MasqueradeAs,INTEGER,Yes,1001,,
RangeMin,DOUBLE,Yes,0,,
RangeMax,DOUBLE,Yes,0,,
AltitudeMin,INTEGER,Yes,0,,
AltitudeMax,INTEGER,Yes,0,,
AltitudeMin_ASL,INTEGER,Yes,0,,
AltitudeMax_ASL,INTEGER,Yes,0,,
ScanInterval,INTEGER,Yes,0,,
ResolutionRange,DOUBLE,Yes,0,,
ResolutionHeight,INTEGER,Yes,0,,
ResolutionAngle,DOUBLE,Yes,0,,
DirectionFindingAccuracy,DOUBLE,Yes,0,,
MaxContactsAir,INTEGER,Yes,0,,
MaxContactsSurface,INTEGER,Yes,0,,
MaxContactsSubmarine,INTEGER,Yes,0,,
MaxContactsIlluminate,INTEGER,Yes,0,,
Availability,INTEGER,Yes,0,,
FrequencyUpper,DOUBLE,Yes,0,,
FrequencyLower,DOUBLE,Yes,0,,
FrequencyLowerIlluminate,DOUBLE,Yes,0,,
FrequencyUpperIlluminate,DOUBLE,Yes,0,,
RadarHorizontalBeamwidth,DOUBLE,Yes,0,,
RadarVerticalBeamwidth,DOUBLE,Yes,0,,
RadarSystemNoiseLevel,DOUBLE,Yes,0,,
RadarProcessingGainLoss,DOUBLE,Yes,0,,
RadarPeakPower,DOUBLE,Yes,0,,
RadarPulseWidth,DOUBLE,Yes,0,,
RadarBlindTime,DOUBLE,Yes,0,,
RadarPRF,INTEGER,Yes,0,,
RadarHorizontalBeamwidthIlluminate,DOUBLE,Yes,0,,
RadarVerticalBeamwidthIlluminate,DOUBLE,Yes,0,,
RadarSystemNoiseLevelIlluminate,DOUBLE,Yes,0,,
RadarProcessingGainLossIlluminate,DOUBLE,Yes,0,,
RadarPeakPowerIlluminate,DOUBLE,Yes,0,,
RadarPulseWidthIlluminate,DOUBLE,Yes,0,,
RadarBlindTimeIlluminate,DOUBLE,Yes,0,,
RadarPRFIlluminate,INTEGER,Yes,0,,
ESMSensitivity,DOUBLE,Yes,0,,
ESMSystemLoss,DOUBLE,Yes,0,,
ESMNumberOfChannels,DOUBLE,Yes,0,,
ESMPreciseEmitterID,BOOLEAN,No,'False',,
ECMGain,DOUBLE,Yes,0,,
ECMPeakPower,DOUBLE,Yes,0,,
ECMBandwidth,DOUBLE,Yes,0,,
ECMNumberOfTargets,INTEGER,Yes,0,,
ECMPoKReduction,DOUBLE,Yes,0,,
SonarSourceLevel,DOUBLE,Yes,0,,
SonarPulseLength,DOUBLE,Yes,0,,
SonarDirectivityIndex,DOUBLE,Yes,0,,
SonarRecognitionDifferentialActive,DOUBLE,Yes,0,,
SonarRecognitionDifferentialPassive,DOUBLE,Yes,0,,
SonarSensorToMachineryDistance,DOUBLE,Yes,0,,
SonarTowLength,DOUBLE,Yes,0,,
SonarMinimumDeploymentDepth,DOUBLE,Yes,0,,
SonarMaximumDeploymentDepth,DOUBLE,Yes,0,,
SonarCZNumber,INTEGER,Yes,0,,
VisualDetectionZoomLevel,DOUBLE,Yes,0,,
VisualClassificationZoomLevel,DOUBLE,Yes,0,,
IRDetectionZoomLevel,DOUBLE,Yes,0,,
IRClassificationZoomLevel,DOUBLE,Yes,0,,
MineSweepWidth,INTEGER,Yes,0,,
MineSweepMinimumDepth,INTEGER,Yes,0,,
MineSweepMaximumDepth,INTEGER,Yes,0,,
MineSweepMaximumSpeed,INTEGER,Yes,0,,
Hypothetical,BOOLEAN,No,'False',,
MinimumSignature_Radar,DOUBLE,Yes,0,,
MinimumSignature_Visual,DOUBLE,Yes,0,,
MinimumSignature_IR,DOUBLE,Yes,0,,
MinimumSignature_ESM,DOUBLE,Yes,0,,
MinimumSignature_ActiveSonar,DOUBLE,Yes,0,,
MinimumSignature_PassiveSonar,DOUBLE,Yes,0,,
Deprecated,BOOLEAN,No,'No',,
