Field Name,Type,Nullable,Default,Primary Key,Description
ID,INTEGER,Yes,,Yes,
ComponentNumber,INTEGER,Yes,,Yes,
ComponentID,INTEGER,Yes,0,,
SB1,BOOLEAN,No,,,
SB2,BOOLEAN,No,,,
SMF1,BOOLEAN,No,,,
SMF2,BOOLEAN,No,,,
SMA1,BOOLEAN,No,,,
SMA2,BOOLEAN,No,,,
SS1,BOOLEAN,No,,,
SS2,BOOLEAN,No,,,
PB1,BOOLEAN,No,,,
PB2,BOOLEAN,No,,,
PMF1,BOOLEAN,No,,,
PMF2,BOOLEAN,No,,,
PMA1,BOOLEAN,No,,,
PMA2,BOOLEAN,No,,,
PS1,BOOLEAN,No,,,
PS2,BOOLEAN,No,,,
SB1Max,BOOLEAN,No,,,
SB2Max,BOOLEAN,No,,,
SMF1Max,BOOLEAN,No,,,
SMF2Max,BOOLEAN,No,,,
SMA1Max,BOOLEAN,No,,,
SMA2Max,BOOLEAN,No,,,
SS1Max,BOOLEAN,No,,,
SS2Max,BOOLEAN,No,,,
PB1Max,BOOLEAN,No,,,
PB2Max,BOOLEAN,No,,,
PMF1Max,BOOLEAN,No,,,
PMF2Max,BOOLEAN,No,,,
PMA1Max,BOOLEAN,No,,,
PMA2Max,BOOLEAN,No,,,
PS1Max,BOOLEAN,No,,,
PS2Max,BOOLEAN,No,,,
