Field Name,Type,Nullable,Default,Primary Key,Description
ID,INTEGER,No,,Yes,主键/DBID
Name,TEXT,Yes,,,武器名称
Comments,TEXT,Yes,,,
Type,INTEGER,Yes,1001,,类型代码 -> EnumWeaponType
Generation,INTEGER,Yes,1001,,
Length,DOUBLE,Yes,0,,
Span,DOUBLE,Yes,0,,
Diameter,DOUBLE,Yes,0,,
Weight,DOUBLE,Yes,0,,
BurnoutTime,DOUBLE,Yes,0,,
BurnoutWeight,DOUBLE,Yes,0,,
CruiseAltitude,DOUBLE,Yes,0,,
CruiseAltitude_ASL,DOUBLE,Yes,0,,
WaypointNumber,INTEGER,Yes,0,,
IlluminationTime,INTEGER,Yes,0,,
CEP,INTEGER,Yes,0,,
CEPSurface,INTEGER,Yes,0,,
AirPoK,DOUBLE,Yes,0,,
SurfacePoK,DOUBLE,Yes,0,,
LandPoK,DOUBLE,Yes,0,,
SubsurfacePoK,DOUBLE,Yes,0,,
ClimbRate,DOUBLE,Yes,0,,
AirRangeMax,DOUBLE,Yes,0,,空射最大射程(km)
AirRangeMin,DOUBLE,Yes,0,,
SurfaceRangeMax,DOUBLE,Yes,0,,面对最大射程(km)
SurfaceRangeMin,DOUBLE,Yes,0,,
LandRangeMax,DOUBLE,Yes,0,,对地最大射程(km)
LandRangeMin,DOUBLE,Yes,0,,
SubsurfaceRangeMax,DOUBLE,Yes,0,,对潜最大射程(km)
SubsurfaceRangeMin,DOUBLE,Yes,0,,
LaunchSpeedMax,INTEGER,Yes,0,,
LaunchSpeedMin,INTEGER,Yes,0,,
LaunchAltitudeMax,DOUBLE,Yes,0,,
LaunchAltitudeMin,DOUBLE,Yes,0,,
LaunchAltitudeMax_ASL,DOUBLE,Yes,0,,
LaunchAltitudeMin_ASL,DOUBLE,Yes,0,,
TargetSpeedMax,INTEGER,Yes,0,,
TargetSpeedMin,INTEGER,Yes,0,,
TargetAltitudeMax,DOUBLE,Yes,0,,
TargetAltitudeMin,DOUBLE,Yes,0,,
TargetAltitudeMax_ASL,DOUBLE,Yes,0,,
TargetAltitudeMin_ASL,DOUBLE,Yes,0,,
SnapUpDownAltitude,DOUBLE,Yes,0,,
CanActAsSensor,BOOLEAN,No,'False',,
MaxFlightTime,INTEGER,Yes,0,,
DetonationDelay,INTEGER,Yes,0,,
TorpedoSpeedCruise,INTEGER,Yes,0,,
TorpedoRangeCruise,DOUBLE,Yes,0,,
TorpedoSpeedFull,INTEGER,Yes,0,,
TorpedoRangeFull,DOUBLE,Yes,0,,
Hypothetical,BOOLEAN,No,'False',,是否虚构
BuddyIlluminationForCEC,BOOLEAN,No,'False',,
Cargo_Type,INTEGER,Yes,0,,
Cargo_Mass,DOUBLE,Yes,0,,
Cargo_Volume,DOUBLE,Yes,0,,
Cargo_Crew,DOUBLE,Yes,0,,
Cargo_ParadropCapable,BOOLEAN,No,'No',,
Cost,INTEGER,Yes,0,,
Deprecated,BOOLEAN,No,'False',,
