ID,Description,YearStart,YearEnd
1001,None,None,None
2001,CV - Aircraft Carrier,None,None
2002,CVA - Attack Carrier,None,None
2003,CVB - Large Aircraft Carrier,None,None
2004,CVE - Escort Aircraft Carrier,None,None
2005,CVGH - Guided Missile Helicopter Carrier,None,None
2006,CVH - Helicopter Carrier,None,None
2007,CVL - Light Aircraft Carrier,None,None
2008,CVN - Nuclear Powered Aircraft Carrier,None,None
2009,CVS - Seaplane Carrier,None,1957
2010,CVS - Anti-Submarine Aircraft Carrier,1957,None
2011,AVT - Training Carrier,None,None
3001,B - Battleship,None,None
3002,BB - Battleship,None,None
3003,BBC - Command Battleship,None,None
3004,BBG - Guided Missile Battleship ,None,None
3005,BBH - Helicopter Battleship,None,None
3006,BCGN - Nuclear Powered Guided Missile Battle Cruiser,None,None
3007,BM - Monitor,1920,None
3101,C - Cruiser,None,None
3102,CA - Heavy Cruiser,None,None
3103,CAG - Heavy Guided Missile Cruiser,1952,None
3104,CB - Large Cruiser,None,None
3105,CBG - Large Guided Missile Cruiser,None,None
3106,CG - Guided Missile Cruiser,None,None
3107,CGH - Guided Missile Helicopter Cruiser,None,None
3108,CGN - Nuclear Powered Guided Missile Cruiser,None,None
3109,CL - Light Cruiser,None,None
3110,CLAA - Light Anti-Aircraft Cruiser,None,None
3111,CLC - Light Command Cruiser,None,None
3112,CLG - Light Guided Missile Cruiser,1957,None
3113,CLH - Light Helicopter Cruiser,None,None
3114,CS - Scout Cruiser,None,None
3201,D - Destroyer,None,None
3202,DD - Destroyer,None,None
3203,DDG - Guided Missile Destroyer,1955,None
3204,DDH - Helicopter Destroyer,None,None
3205,DDK - ASW Submarine Killer Destroyer,None,None
3206,DDR - Radar Picket Destroyer,None,None
3207,DE - Destroyer Escort,None,None
3208,DEG - Guided Missile Destroyer Escort,None,None
3209,DER - Radar Picket Destroyer Escort,None,None
3210,DL - Destroyer,None,1975
3211,DLG - Guided Missile Destroyer,None,1975
3212,DM - Destroyer Minelayer (converted destroyer) ,None,None
3301,F - Frigate,None,None
3302,FF - Frigate,None,None
3303,FFG - Guided Missile Frigate,None,None
